string,module,voltage,current
6,10,1140.7,11.7
6,11,1141.3,11.5
6,12,1142.5,11.5
6,13,1142.5,11.6
6,14,1144.6,11.6
6,15,1140.9,0.41
6,16,1141.0,11.5
6,17,1142.0,11.2
6,18,1144.3,11.5
6,19,1143.5,11.4
6,20,1140.8,11.4
6,21,1141.1,11.8
6,22,1143.6,11.4
6,23,1143.2,11.5
6,24,1145.0,11.6
6,25,1141.8,11.4
6,26,1141.8,11.4
6,27,1142.9,11.5
6,28,1143.6,11.4
6,29,1143.9,11.6
6,30,1141.8,11.7
7,1,1141.4,11.4
7,2,1142.6,11.5
7,3,1144.6,11.6
7,4,1145.1,11.6
7,5,1140.6,11.2
7,6,1143.0,11.4
7,7,1142.6,11.3
7,8,1142.9,11.5
7,9,1144.4,11.5
7,10,1140.8,11.6
7,11,1143.2,11.4
7,12,1143.9,11.6
7,13,1144.0,11.6
7,14,1145.3,11.5
7,15,1142.5,11.7
7,16,1143.1,11.4
7,17,1143.2,11.4
7,18,1144.6,11.6
7,19,1145.3,11.5
7,20,1141.7,11.5
7,21,1142.9,11.7
7,22,1142.1,11.4
7,23,1143.9,11.3
7,24,1143.8,11.7
7,25,1142.4,11.4
7,26,1142.1,11.5
7,27,1142.2,11.7
7,28,1143.2,11.4
7,29,1145.4,11.2
7,30,1140.6,11.6
8,1,1142.8,11.6
8,2,1144.0,11.5
8,3,1143.7,11.8
8,4,1145.0,11.5
8,5,1141.8,11.2
8,6,1142.7,11.5
8,7,1142.7,11.5
8,8,1144.7,11.2
8,9,1145.3,11.5
8,10,1141.8,11.6
8,11,1142.8,11.6
8,12,1143.8,11.6
8,13,1144.7,11.4
8,14,1144.4,11.5
8,15,1142.2,11.7
8,16,1142.1,11.7
8,17,1144.2,11.6
8,18,1145.1,11.7
8,19,1145.8,11.5
8,20,1142.6,11.3
8,21,1143.4,11.6
8,22,1144.1,11.5
8,23,1145.0,11.2
8,24,1144.3,11.8
8,25,1142.0,11.7
8,26,1143.7,11.5
8,27,1143.7,11.5
8,28,1143.6,11.6
8,29,1146.0,11.5
8,30,1142.4,11.6
9,1,1142.9,11.3
9,2,1144.0,11.4
9,3,1145.7,11.8
9,4,1145.5,11.3
9,5,1143.0,11.5
9,6,1142.4,11.6
9,7,1144.5,11.3
9,8,1145.7,11.6
9,9,1146.1,11.4
9,10,1141.6,11.4
9,11,1142.4,11.3
9,12,1143.1,11.8
9,13,1145.5,11.3
9,14,1146.5,11.3
9,15,1141.9,11.7
9,16,1144.2,11.3
9,17,1143.1,11.3
9,18,1143.9,11.6
9,19,1146.4,11.4
9,20,1141.7,11.3
9,21,1144.2,11.5
9,22,1145.0,11.4
9,23,1144.8,11.3
9,24,1146.6,11.8
9,25,1142.8,0.35
9,26,1144.3,11.2
9,27,1144.3,11.5
9,28,1145.7,11.7
9,29,1146.3,11.3
9,30,1142.0,11.7
10,1,1143.4,11.5
10,2,1143.7,11.3
10,3,1144.4,11.4
10,4,1145.3,11.5
10,5,1143.1,11.5
10,6,1143.1,11.6
10,7,1144.9,11.3
10,8,1145.3,11.3
10,9,1147.1,11.4
10,10,1142.8,11.5
10,11,1144.3,11.3
10,12,1144.0,11.5
10,13,1145.3,11.7
10,14,1146.8,11.3
10,15,1143.1,11.7
10,16,1144.4,11.5
10,17,1144.4,11.5
10,18,1145.3,11.5
10,19,1146.1,11.7
10,20,1142.3,11.4
10,21,1144.1,11.6
10,22,1144.0,11.3
10,23,1145.8,11.4
10,24,1145.2,11.5
10,25,1143.5,11.6
10,26,1143.9,11.3
10,27,1145.0,11.6
10,28,1145.8,11.6
10,29,1145.7,11.5
10,30,1142.6,11.8
